floor	room	room_type	facing	facing_type	camera_wall_m	wall_width_m	note
ground	ENTRANCE APPROACH	open	W	open	24.00	20.00	no wall
upper	SOLAR (GREAT CHAMBER)	enclosed	N	enclosed	6.97	14.60	
upper	SOLAR (GREAT CHAMBER)	enclosed	E	enclosed	10.95	9.30	
upper	SOLAR (GREAT CHAMBER)	enclosed	S	enclosed	6.97	14.60	
upper	SOLAR (GREAT CHAMBER)	enclosed	W	enclosed	10.95	9.30	
upper	MUNIMENT ROOM	enclosed	N	enclosed	3.60	5.45	
upper	MUNIMENT ROOM	enclosed	E	enclosed	4.09	4.80	
upper	MUNIMENT ROOM	enclosed	S	enclosed	3.60	5.45	
upper	MUNIMENT ROOM	enclosed	W	enclosed	4.09	4.80	
upper	BACK STAIR HEAD	corridor	N	enclosed	3.11	5.45	
upper	BACK STAIR HEAD	corridor	E	enclosed	4.09	4.15	
upper	BACK STAIR HEAD	corridor	S	enclosed	3.11	5.45	
upper	BACK STAIR HEAD	corridor	W	enclosed	4.09	4.15	
upper	LONG GALLERY	corridor	N	corridor	18.22	8.00	
upper	LONG GALLERY	corridor	E	enclosed	6.00	24.30	
upper	LONG GALLERY	corridor	S	corridor	18.22	8.00	
upper	LONG GALLERY	corridor	W	enclosed	6.00	24.30	
upper	MASTER BEDCHAMBER	enclosed	N	enclosed	5.70	8.80	
upper	MASTER BEDCHAMBER	enclosed	E	enclosed	6.60	7.60	
upper	MASTER BEDCHAMBER	enclosed	S	enclosed	5.70	8.80	
upper	MASTER BEDCHAMBER	enclosed	W	enclosed	6.60	7.60	
upper	STAIR LANDING	corridor	N	enclosed	4.24	8.80	
upper	STAIR LANDING	corridor	E	enclosed	6.60	5.65	
upper	STAIR LANDING	corridor	S	enclosed	4.24	8.80	
upper	STAIR LANDING	corridor	W	enclosed	6.60	5.65	
upper	GUEST CHAMBER	enclosed	N	enclosed	4.84	8.80	
upper	GUEST CHAMBER	enclosed	E	enclosed	6.60	6.45	
upper	GUEST CHAMBER	enclosed	S	enclosed	4.84	8.80	
upper	GUEST CHAMBER	enclosed	W	enclosed	6.60	6.45	
upper	CLOSET CHAMBER	enclosed	N	enclosed	2.66	8.80	
upper	CLOSET CHAMBER	enclosed	E	enclosed	6.60	3.55	
upper	CLOSET CHAMBER	enclosed	S	enclosed	2.66	8.80	
upper	CLOSET CHAMBER	enclosed	W	enclosed	6.60	3.55	
